0010;0020;0030;0040;0050;0055;0060;0065;0070;0075;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0180;0190;0200;0205;0210;0220
33;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BIC PORTUGUES S.A.;BANCO BIC PORTUGUES S.A.;549300QQJ6BNALGU6806;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);232107,33;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
34;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BAI EUROPA S.A.;BANCO BAI EUROPA S.A.;5100431816;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);5000,01;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
35;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);IMGA EXTRA TESOURARIA III - FUNDO INVESTIMENTO ALTERNATIVO MOBILIARIO;IMGA EXTRA TESOURARIA III - FUNDO INVESTIMENTO ALTERNATIVO MOBILIARIO;5100517491;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);975007,62;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
36;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA ECONOMICA DO PORTO ANEXA A A BENEFICENCIA FAMILIAR - ASSOCIACAO;CAIXA ECONOMICA DO PORTO ANEXA A A BENEFICENCIA FAMILIAR - ASSOCIACAO;5100619537;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);113879,34;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
37;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BIC PORTUGUES, S.A.;BANCO BIC PORTUGUES, S.A.;549300QQJ6BNALGU6806;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);481,33;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
38;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO PORTUGUES DE GESTAO S.A.;BANCO PORTUGUES DE GESTAO S.A.;213800FVJ6R9N8797493;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);7522752,78;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
39;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO PORTUGUES DE GESTAO S.A.;BANCO PORTUGUES DE GESTAO S.A.;213800FVJ6R9N8797493;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);132917,9499;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
40;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO PRIMUS, S.A.;BANCO PRIMUS, S.A.;7400275915;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);258058,1;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
41;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NORTHERN TRUST GLOBAL SERVICES LIMITED LONDON;NORTHERN TRUST GLOBAL SERVICES LIMITED LONDON;7400416219;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);258165,92;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
42;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);THE NORTHERN TRUST GLOBAL SERVICES LIMITED LUXEMB;THE NORTHERN TRUST GLOBAL SERVICES LIMITED LUXEMB;7400416245;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4675,93;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
43;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);THE NORTHERN TRUST COMPANY LONDON BRANCH;THE NORTHERN TRUST COMPANY LONDON BRANCH;7400416430;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1883423,54;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
44;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO BEST;BANCO BEST;549300TW29K5QURDVU59;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);42844,2;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
45;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO DE INVESTIMENTO GLOBAL, S.A.;BANCO DE INVESTIMENTO GLOBAL, S.A.;213800KYUPNOQPAQL758;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);363020,89;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
46;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BNP PARIBAS;BNP PARIBAS;7400422086;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);46933,51;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
