0010;0020;0030;0040;0050;0061;0071;0075;0080;0085;0090;0095;0100;0110;0120;0130;0140;0150
45;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00GL0F;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;GRAVITYTIGER, LDA;2549007AQNRT5AXM7X93;LEI code;PORTUGAL;FALSE;PORTUGAL;2;3478,7;0;0;3478,7
46;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);8ILG;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;VISION BOX - SOLUCOES DE VISAO POR COMPUTADOR S.A.;21380038XS7H6C5GFB64;LEI code;PORTUGAL;FALSE;PORTUGAL;2;242,57;0;0;242,57
47;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);0000016602;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;VILARTEX - EMPRESA DE MALHAS VILARINHO LDA;549300CS87LL4XIYVV98;LEI code;PORTUGAL;FALSE;PORTUGAL;2;633,7;0;0;633,7
48;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);977J;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;VILAMOURA WORLD S.A.;7400324759;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;4851,81;0;0;4851,81
49;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);2RJO;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;STRONG CHARON, SOLUCOES DE SEGURANCA, S.A.;549300QG7DM4U75QUF09;LEI code;PORTUGAL;FALSE;PORTUGAL;2;344,46;0;0;344,46
50;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);ISDA_GWL1;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;GALLO WORLDWIDE LDA.;894500QEBOQ7ZV3UZ375;LEI code;PORTUGAL;FALSE;UNITED KINGDOM;2;3162,32;0;0;3162,32
51;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);5PGI;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;THE NAVIGATOR COMPANY S.A.;549300UNIB7M2AXUXS35;LEI code;PORTUGAL;FALSE;UNITED KINGDOM;14;1922,07;0;0;1922,07
52;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_TGPT;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;TRIVALOR-SOCIEDADE GESTORA DE PARTICIPACOES SOCIAIS S.A.;54930042E6E66VONUC18;LEI code;PORTUGAL;FALSE;PORTUGAL;6;696,96;0;0;696,96
53;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);00CSPY;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;CORK SUPPLY PORTUGAL 4 - ROLHAS TECNICAS UNIPESSOAL LDA;5100681260;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;PORTUGAL;2;2,7;0;0;2,7
54;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);PSZF;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;8 AVENIDA- CENTRO COMERCIAL, S.A.;7400291653;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;10884,75;0;0;10884,75
55;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);0000220295;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;COLQUIMICA - INDUSTRIA NACIONAL DE COLAS S.A.;0000220295;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;PORTUGAL;4;37299,72;0;0;37299,72
56;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);53GN;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;GALP GAS NATURAL S.A.;8028196868;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;62;1958715,75;0;0;1958715,75
58;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);8000181482;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;SOCIETE GENERALE;8000181482;Type of identifier, other than LEI or MFI code;FRANCE;FALSE;PORTUGAL;2;58286,39;71611,43375;0;0
60;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BBVD;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;BANCO BILBAO VIZCAYA ARGENTARIA EX.B.B.V.;8000176012;Type of identifier, other than LEI or MFI code;SPAIN;FALSE;UNITED KINGDOM;2;573487,67;1485033,078;0;0
61;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);0000003686;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;BANCO SANTANDER SA;0000003686;Type of identifier, other than LEI or MFI code;SPAIN;TRUE;PORTUGAL;921;602642957,6;438612212;0;164030745,6
62;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);IS_BSP_BSNE;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;BANCO SANTANDER S.A.;5493006QMFDDMYWIAM13;LEI code;SPAIN;TRUE;UNITED KINGDOM;276;1342058,8;360550,051;0;981508,749
63;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);IS_BSP_RBSB;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;ROYAL BANK OF SCOTLAND PLC;8000438626;Type of identifier, other than LEI or MFI code;UNITED KINGDOM;FALSE;UNITED KINGDOM;13;7803862,73;0;0;7803862,73
64;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CLON;ISDA 2002 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;BANQUE INDOSVEZ;8021880518;Type of identifier, other than LEI or MFI code;UNITED KINGDOM;FALSE;UNITED KINGDOM;2;29397,49;0;0;29397,49
66;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);7401586148;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - Other Agreement for resolution stay recognition;LCH.CLEARNET SA.;7401586148;Type of identifier, other than LEI or MFI code;FRANCE;FALSE;PORTUGAL;20;245117669,7;485380355,2;0;0
67;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);TS0Z;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA S.A.;54930006K2IUPA083C07;LEI code;PORTUGAL;TRUE;UNITED KINGDOM;18;36658488,45;0;0;36658488,45
