0010;0020;0030;0035;0040;0045;0047;0050;0060;0070;0080;0090;0100
125;Rank 9 - Ranking in insolvency (master scale);962304820242890;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;17188,1;No;0;Default
126;Rank 9 - Ranking in insolvency (master scale);962304820246870;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;22094,88;No;0;Default
127;Rank 9 - Ranking in insolvency (master scale);962304820250510;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;19247;No;0;Default
128;Rank 9 - Ranking in insolvency (master scale);962304820250610;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;18000;No;0;Default
129;Rank 9 - Ranking in insolvency (master scale);962304820251950;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;224021,88;No;0;Default
130;Rank 9 - Ranking in insolvency (master scale);962304820252950;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;23523,74;No;0;Default
131;Rank 9 - Ranking in insolvency (master scale);962304820260590;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;14100;No;0;Default
132;Rank 9 - Ranking in insolvency (master scale);962304820267450;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;20633,83;No;0;Default
133;Rank 9 - Ranking in insolvency (master scale);962304820268980;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;18900,59;No;0;Default
134;Rank 9 - Ranking in insolvency (master scale);962304820270990;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;80000;No;0;Default
135;Rank 9 - Ranking in insolvency (master scale);962304820272510;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;33939,66;No;0;Default
136;Rank 9 - Ranking in insolvency (master scale);962304820272570;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;990000;No;0;Default
137;Rank 9 - Ranking in insolvency (master scale);962304820272590;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;794000;No;0;Default
138;Rank 9 - Ranking in insolvency (master scale);962304820272600;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;346000;No;0;Default
139;Rank 9 - Ranking in insolvency (master scale);962304820273560;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;45500;No;0;Default
140;Rank 9 - Ranking in insolvency (master scale);962304820273750;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;33452,75;No;0;Default
141;Rank 9 - Ranking in insolvency (master scale);962304820274160;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;95000;No;0;Default
142;Rank 9 - Ranking in insolvency (master scale);962304820275080;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;22804,84;No;0;Default
143;Rank 9 - Ranking in insolvency (master scale);962304820276890;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;30000;No;0;Default
144;Rank 9 - Ranking in insolvency (master scale);962304820277500;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;1104,17;No;0;Default
145;Rank 9 - Ranking in insolvency (master scale);962304820280090;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;25500;No;0;Default
146;Rank 9 - Ranking in insolvency (master scale);962304820282740;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;550000;No;0;Default
147;Rank 9 - Ranking in insolvency (master scale);962304820283590;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;59474,02;No;0;Default
148;Rank 9 - Ranking in insolvency (master scale);962304820287070;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;38115;No;0;Default
149;Rank 9 - Ranking in insolvency (master scale);962304820287830;BANCO SANTANDER SA;5493006QMFDDMYWIAM13;LEI code;False;PORTUGAL;Counterparty;18165,15;No;0;Default
