Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;41892.7680570623;113915.231942938
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;60401.8064907763;164245.193509224
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;78922.1376453929;214605.862354607
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;99767.4249344148;271288.575065585
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;122926.375636939;334262.624363061
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;4364.3677545584;11867.6322454416
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;11172.5340873069;30380.4659126931
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;18689.9908424633;50822.0091575368
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;27734.9225368536;75417.0774631464
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;40696.5462643054;110662.453735695
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;58677.5155586679;159556.484441332
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;76668.9709510115;208479.029048989
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;96919.2393981878;263543.760601812
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2021;119417.028179294;324719.971820706
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;4267.30412965724;11603.6958703428
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;10924.3631017563;29705.6368982437
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;18274.8489121381;49693.1510878619
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;27118.6626247388;73741.3373752612
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;39792.5908434807;108204.409156519
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;57374.012917336;156011.987082664
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;74965.9210891724;203848.078910828
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;94766.0939460868;257688.906053913
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2022;116764.045390098;317505.954609902
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;4160.02328108228;11311.9767189177
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;10649.8424340995;28959.1575659005
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;A2010;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;17815.8804697384;48445.1195302616
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;B;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;26437.6040045875;71889.3959954125
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;C;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;38793.1850435982;105486.814956402
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;D;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;55932.846630715;152093.153369285
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;E;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;73082.9943158128;198728.005684187
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;F;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;92386.0185787044;251216.981421296
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Retail - warehouse;G;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2023;113831.702195716;309532.297804284
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Hotel;A2020;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;0.0460312813935681;0.125168718606432
Commercial real estate;Emissions;Europe;Denmark;;Non-residential buildings;Hotel;A2015;Dwelling;#;Emission Intensity per m²;tCO2e/Building;3;2020;0.117820721417416;0.320379278582584
