CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC0975;Aquinos 2023;BANCO SANTANDER TOTTA;6586;EUR;2000000;0;27/03/2023;27/03/2026;27/03/2025;25/02/2025;1.25;0.11;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0976;MECWIDE SA 2023;BANCO SANTANDER TOTTA;6707;EUR;1250000;0;23/03/2023;24/03/2025;24/03/2025;22/02/2025;1.1;0.1;Anual;Act/360;Act/360;0.2;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0977;GRUPADO PROZIS 2023;BANCO SANTANDER TOTTA;;EUR;2600000;0;28/03/2023;28/03/2028;;;0.9;0.05;Trimestral;Act/360;Act/360;0.25;Trimestral;Sim;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0978;Balbino & Faustino 2023;BANCO SANTANDER TOTTA;6594;EUR;1500000;0;27/03/2023;27/03/2026;27/03/2025;25/02/2025;1.25;0.05;Anual;Act/360;Act/360;0.125;Anual;Não;Não;Validado BO;2;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0979;MOVITER 2023;BANCO SANTANDER TOTTA;6594;EUR;11000000;11000000;11/04/2023;11/04/2028;11/04/2025;10/02/2025;1.1;0.025;Anual;Act/360;Act/360;0.125;Anual;Não;Não;Validado BO;0;1;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0980;GRUPADO JPM 2023;BANCO SANTANDER TOTTA;6226;EUR;1300000;0;28/04/2023;28/04/2028;;;1.125;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0982;PCARNES, S.A 2023;BANCO SANTANDER TOTTA;6593;EUR;2000000;2000000;21/04/2023;22/04/2025;21/04/2025;22/03/2025;0.85;0.05;Anual;Act/360;Act/360;0.1;Anual;Sim;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0983;CARTONAGEM TRINDADE 2023;BANCO SANTANDER TOTTA;6226;EUR;1000000;0;22/05/2023;22/05/2026;;;0.75;0.05;Trimestral;Act/360;Act/360;0.1;Trimestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0984;GRUPADO DECADA PARALELA 2023;BANCO SANTANDER TOTTA;5298;EUR;1750000;1750000;02/05/2023;02/05/2028;02/05/2025;02/04/2025;2;0.2;Semestral;Act/360;Act/360;0.5;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0986;AMILCAR & MORGADO 2023;BANCO SANTANDER TOTTA;6247;EUR;800000;0;16/05/2023;16/05/2028;16/05/2025;16/04/2025;0.85;0.05;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0987;GRUPADO DIVERSTOCK 2023;BANCO SANTANDER TOTTA;6581;EUR;600000;0;24/05/2023;25/05/2026;;;1.2;0.125;Semestral;Act/360;Act/360;0.125;Semestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0988;LAFITTE CORK PORTUGAL S.A 2023;BANCO SANTANDER TOTTA;6226;EUR;600000;0;22/05/2023;24/05/2027;;;1.25;0.1;Trimestral;Act/360;Act/360;0.1;Trimestral;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0989;GRUPADO RANGEL - 2023;BANCO SANTANDER TOTTA;6210;EUR;1250000;1250000;01/06/2023;01/06/2027;;;0.85;0.05;Semestral;Act/360;Act/360;0.45;Semestral;Não;Não;Validado BO;0;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
PC0990;NOVARROZ-2.5M 2023;BANCO SANTANDER TOTTA;6226;EUR;1750000;0;22/06/2023;22/06/2028;;;0.825;0.05;Semestral;Act/360;Act/360;0.1;Semestral;Sim;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;BATALHA;PRT
PC0991;NOVARROZ-1.5M 2023;BANCO SANTANDER TOTTA;6226;EUR;1500000;0;22/06/2023;22/06/2026;22/06/2025;23/05/2025;0.825;0.05;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;1;0;Taxa Variável;Colocacao directa da emissao;Sim;Nao;Nao;;PRT
