c0010;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100;c0110;c0120;c0130;c0140;c0150
83;89000020240000766001520240650504P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
84;89000020240000766001520240650505P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
85;89000020240000766001520240650506P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
86;89000020240000766001520240650507P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
87;89000020240000766001520240650508P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
88;89000020240000766001520240650509P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
89;89000020240000766001520240650510P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
90;89000020240000766001520240650511P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
91;89000020240000766001520240650512P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
92;89000020240000766001520240650513P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
93;89000020240000766001520240650514P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
94;89000020240000766001520240650515P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
95;89000020240000766001520240650516P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
96;89000020240000766001520240650517P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1951.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
97;89000020240000766001520240650518P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3346.20;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
98;89000020240000766001520240650519P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3346.20;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
99;89000020240000766001520240650520P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2617.50;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
100;89000020240000766001520240650521P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2617.50;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
101;89000020240000766001520240650522P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3789.81;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
102;89000020240000766001520240650523P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3789.81;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
103;89000020240000766001520240650524P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3789.81;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
104;89000020240000766001520240650525P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3789.81;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
105;89000020240000766001520240650526P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3036.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
106;89000020240000766001520240650527P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3036.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
107;89000020240000766001520240650528P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3036.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
108;89000020240000766001520240650529P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3036.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
109;89000020240000766001520240650530P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4131.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
110;89000020240000766001520240650531P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4131.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
111;89000020240000766001520240650532P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4131.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
112;89000020240000766001520240650533P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4131.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
113;89000020240000766001520240650534P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4131.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
114;89000020240000766001520240650535P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3759.61;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
115;89000020240000766001520240650536P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1862.72;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
116;89000020240000766001520240650537P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1901.26;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
117;89000020240000766001520240650538P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1901.26;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
118;89000020240000766001520240650539P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1901.26;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
119;89000020240000766001520240650540P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2629.54;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
120;89000020240000766001520240650541P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2629.54;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
121;89000020240000766001520240650542P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2629.54;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
122;89000020240000766001520240650543P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2480.61;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
123;89000020240000766001520240650544P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2480.61;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
124;89000020240000766001520240650545P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2480.61;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
125;89000020240000766001520240650546P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;2480.61;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
126;89000020240000766001520240650547P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
127;89000020240000766001520240650548P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
128;89000020240000766001520240650549P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
129;89000020240000766001520240650550P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
130;89000020240000766001520240650551P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
131;89000020240000766001520240650552P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
132;89000020240000766001520240650553P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
133;89000020240000766001520240650554P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.43;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
