0010_row_nmbr;0011_tab_origin;0020_uniq_id_knwn_cntrprty;0030_cntrprty_rsltn_grp;0040_cntrprty_nm;0050_cntrprty_lei;0060_typ_cntrprty_id;0070_cntrprty_id;0080_cntrprty_typ;0090_cntry_cntrprty;0100_rlvnt_amnt_wdc;ckutulmo;htimest;ref_date;cod_visao
84;B0500;89000020240000766001520240650202P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
85;B0500;89000020240000766001520240650203P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
86;B0500;89000020240000766001520240650204P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
87;B0500;89000020240000766001520240650205P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
88;B0500;89000020240000766001520240650206P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
89;B0500;89000020240000766001520240650207P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
90;B0500;89000020240000766001520240650208P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
91;B0500;89000020240000766001520240650349P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
92;B0500;89000020240000766001520240650350P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
93;B0500;89000020240000766001520240650351P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
94;B0500;89000020240000766001520240650352P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
95;B0500;89000020240000766001520240650353P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
96;B0500;89000020240000766001520240650354P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
97;B0500;89000020240000766001520240650355P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
98;B0500;89000020240000766001520240650356P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
99;B0500;89000020240000766001520240650357P_0000_00000000000_000003461004226;"";"";"";LEI;3461004226;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
