asset_id;intangible_asset_class;acquisition_capitalisation_date;initial_fair_value;cumulative_amortisation;impairment_amount;current_carrying_amount;Currency;original_accounting_life;remaining_economic_life;approach_det_carrying_amount;val_timestamp;internal_external_latest_val
221500002545;Unpatented software and technology;01/02/2019;217 631,21;-217 631,21;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002108;Unpatented software and technology;01/02/2019;46 825,57;-46 825,57;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002110;Unpatented software and technology;01/02/2019;101 560,98;-101 560,98;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002114;Unpatented software and technology;01/02/2019;26 535,27;-26 535,27;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002106;Unpatented software and technology;01/02/2019;64 392,28;-64 392,28;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002119;Unpatented software and technology;01/02/2019;3 691,60;-3 691,60;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001535;Unpatented software and technology;01/02/2019;3 128,54;-3 128,54;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002123;Unpatented software and technology;01/02/2019;8 989,01;-8 989,01;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002125;Unpatented software and technology;01/02/2019;1 457,86;-1 457,86;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002127;Unpatented software and technology;01/02/2019;22 635,51;-22 635,51;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002130;Unpatented software and technology;01/02/2019;73,11;-73,11;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002133;Unpatented software and technology;01/02/2019;6 767,85;-6 767,85;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002135;Unpatented software and technology;01/02/2019;22 868,81;-22 868,81;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002137;Unpatented software and technology;01/02/2019;34 176,49;-34 176,49;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002138;Unpatented software and technology;01/02/2019;27 837,48;-27 837,48;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002141;Unpatented software and technology;01/02/2019;15 556,92;-15 556,92;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002142;Unpatented software and technology;01/02/2019;1 389,09;-1 389,09;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001539;Unpatented software and technology;01/02/2019;304 355,00;-304 355,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001537;Unpatented software and technology;01/02/2019;4 124,17;-4 124,17;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002118;Unpatented software and technology;01/02/2019;16 531,97;-16 531,97;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001567;Unpatented software and technology;01/03/2019;6 726,10;-6 726,10;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001673;Unpatented software and technology;01/03/2019;2 349,27;-2 349,27;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001670;Unpatented software and technology;01/03/2019;6 488,77;-6 488,77;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001667;Unpatented software and technology;01/03/2019;578,75;-578,75;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001663;Unpatented software and technology;01/03/2019;5 779,56;-5 779,56;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001660;Unpatented software and technology;01/03/2019;1 098,32;-1 098,32;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001657;Unpatented software and technology;01/03/2019;990,65;-990,65;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001654;Unpatented software and technology;01/03/2019;910,80;-910,80;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500003188;Unpatented software and technology;01/03/2019;6 032,35;-6 032,35;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001570;Unpatented software and technology;01/03/2019;3 292,18;-3 292,18;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001718;Unpatented software and technology;01/03/2019;16 729,35;-16 729,35;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001564;Unpatented software and technology;01/03/2019;6 726,10;-6 726,10;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001559;Unpatented software and technology;01/03/2019;6 620,98;-6 620,98;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001549;Unpatented software and technology;01/03/2019;3 611,82;-3 611,82;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001546;Unpatented software and technology;01/03/2019;6 625,44;-6 625,44;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001541;Unpatented software and technology;01/03/2019;6 726,10;-6 726,10;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001494;Unpatented software and technology;01/03/2019;1 622,41;-1 622,41;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001440;Unpatented software and technology;01/03/2019;266 347,80;-266 347,80;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500003181;Unpatented software and technology;01/03/2019;6 141,24;-6 141,24;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001572;Unpatented software and technology;01/03/2019;430,34;-430,34;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001756;Unpatented software and technology;01/03/2019;10 089,91;-10 089,91;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001775;Unpatented software and technology;01/03/2019;714 539,00;-714 539,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001772;Unpatented software and technology;01/03/2019;270,43;-270,43;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001770;Unpatented software and technology;01/03/2019;3 074,61;-3 074,61;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001768;Unpatented software and technology;01/03/2019;45 879,44;-45 879,44;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001766;Unpatented software and technology;01/03/2019;2 596,91;-2 596,91;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001764;Unpatented software and technology;01/03/2019;558,19;-558,19;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001763;Unpatented software and technology;01/03/2019;63 823,71;-63 823,71;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
